danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri
0.825,0.595,0,-9.393,1,0.0669,0.00107,0.94,0.0578,0.0781,124.003,audio_features,spotify:track:4cTIFTmacy3vyi5A5F3YeD
0.721,0.736,5,-6.643,0,0.0659,0.0629,0.807,0.0477,0.418,120.011,audio_features,spotify:track:5GxzwIut9sNiCTiQJfCLSR
0.732,0.769,2,-8.214,1,0.0428,0.0238,0.00503,0.259,0.679,128.007,audio_features,spotify:track:75tcofVJFPhehlfnEwqiuV
0.905,0.835,10,-4.355,0,0.175,0.194,0.0,0.0789,0.667,102.04,audio_features,spotify:track:4gc19xZ8SvONdW6ZVHlYSO
0.746,0.803,11,-8.883,0,0.0387,0.0235,0.877,0.0992,0.62,125.012,audio_features,spotify:track:7DzjqZH47oKP3o6Pj1sQrR
0.81,0.59,7,-9.865,1,0.0407,2.31e-05,0.597,0.0714,0.515,120.007,audio_features,spotify:track:1Txy239Azz9buzEQ9034kF
0.762,0.862,0,-3.595,0,0.0655,0.00202,0.56,0.0635,0.233,124.019,audio_features,spotify:track:7j65181rWNroAwZakfm1s4
0.796,0.948,7,-9.878,0,0.0631,0.00633,0.92,0.0664,0.419,119.988,audio_features,spotify:track:2tFz3AlZ1GUacsccZgo2Mt
0.804,0.902,10,-7.302,1,0.0472,0.0189,0.827,0.0682,0.756,122.001,audio_features,spotify:track:27gn9CFe0AphGFGLR8sSym
0.785,0.688,9,-7.348,0,0.0385,0.019,0.3,0.136,0.835,132.279,audio_features,spotify:track:4Xf27f2BIY6FmvifqxQ7RD
0.684,0.697,6,-6.73,0,0.0334,0.0109,0.0908,0.0986,0.761,96.992,audio_features,spotify:track:6sbOGldEofWsQlq1GjdHJK
0.79,0.779,7,-9.58,1,0.0751,0.000637,0.908,0.105,0.0765,122.006,audio_features,spotify:track:0F4Q4Gkpy1rm4qC9oYteTe
0.795,0.598,7,-7.403,0,0.0656,0.0595,0.187,0.684,0.567,121.982,audio_features,spotify:track:6nfYXTZfmJMM56AfTV4mF4
0.802,0.971,2,-5.54,1,0.0524,3.73e-05,0.753,0.132,0.408,125.0,audio_features,spotify:track:2Tax5xK7RwwpnZOss6HmvD
0.804,0.78,4,-8.932,0,0.0627,0.178,0.846,0.0667,0.497,127.985,audio_features,spotify:track:4zaoon91ISbBglXsZL63XM
0.71,0.369,0,-13.636,1,0.0471,0.0105,0.786,0.071,0.742,129.994,audio_features,spotify:track:1PJDERZhH8grqTTQK5JDNj
0.685,0.735,4,-6.337,0,0.0334,0.191,0.038,0.188,0.385,94.035,audio_features,spotify:track:0Psz3az3RIYfJpnsajBT8N
0.838,0.381,11,-16.867,0,0.0351,0.00912,0.0988,0.0364,0.95,117.708,audio_features,spotify:track:1mMYaXpT65iZDtvfRA9EkE
0.941,0.839,11,-6.457,1,0.125,0.0663,0.0115,0.242,0.763,125.437,audio_features,spotify:track:0OfWbtiZ3fHd64VmpCSj7g
0.845,0.881,9,-5.856,1,0.112,0.00814,5.1e-05,0.0631,0.709,119.998,audio_features,spotify:track:1x3fitHSJI4Zk6oRdRzqks
