title;artist;album;isrc;addedDate;addedBy;duration;url
"I Am Alive";"E. Myers";"I Am Alive / Dreamland";GBK5M1800001;"2020-07-05 01:06";1218037846;373s;https://open.spotify.com/track/1PJDERZhH8grqTTQK5JDNj
Nanã;"Polo & Pan";Caravelle;FRPDG1600040;"2020-07-05 01:07";1218037846;191s;https://open.spotify.com/track/0Psz3az3RIYfJpnsajBT8N
Fresh;"Kool & The Gang";"Emergency (Reissue)";USUMG0000175;"2020-07-05 01:07";1218037846;267s;https://open.spotify.com/track/1mMYaXpT65iZDtvfRA9EkE
"Erotic City";Prince;"The Hits / The B-Sides";USWB18400004;"2020-07-05 01:08";1218037846;235s;https://open.spotify.com/track/0OfWbtiZ3fHd64VmpCSj7g
"Think (About It) - Spen & Thommy’s House Party Mix";"Barbara Tucker, DJ Spen, Thommy Davis";"Think (About It)";UKF4C1600548;"2020-07-05 01:08";1218037846;504s;https://open.spotify.com/track/1x3fitHSJI4Zk6oRdRzqks
"Dished (Male Stripper)";"Purple Disco Machine";"Dished (Male Stripper)";AUDCB1701158;"2020-07-05 01:08";1218037846;253s;https://open.spotify.com/track/4DIspILFDWAlU7bViTMqhS
"Night & Day - Original Mix";"John Davis & The Monster Orchestra";"Night & Day";USNRS1432614;"2020-07-05 01:08";1218037846;308s;https://open.spotify.com/track/6Zo37jPR7DCOoCOtTaA15v
"Never Danced";"GG Edit's";"Midnight Riot, Vol. 9";GB7EJ1500691;"2020-07-05 01:08";1218037846;388s;https://open.spotify.com/track/6tlzpNj1gd9QH2ZbFzBgAI
Paradise;"Kaz James, Nick Morgan";Paradise;GBPQS1800133;"2020-07-05 01:08";1218037846;429s;https://open.spotify.com/track/5cJOyRToxH8fmAzsC8vwAa
"Let's Go Dancing (feat. Amy Douglas) - Dimitri From Paris 7"" Version";"Horse Meat Disco, Amy Douglas, Dimitri From Paris";"Let's Go Dancing (feat. Amy Douglas) [7"" Versions]";GBCPZ1814817;"2020-07-05 01:08";1218037846;204s;https://open.spotify.com/track/3xP4g4wokqBdvVtcRl0cwb
"Love in C Minor";Cerrone;"Cerrone I, II, III";FRF887600180;"2020-07-05 01:09";1218037846;975s;https://open.spotify.com/track/5K0lYzIuk8CLhtnr49dgiV
"I Wanna Be Your Lover";Prince;Prince;USWB19903516;"2020-07-05 01:09";1218037846;348s;https://open.spotify.com/track/4yrM5BVyJzy5Ed4GPO6e8j
"I Would Die 4 U";Prince;"Purple Rain";USWB10001878;"2020-07-05 01:09";1218037846;179s;https://open.spotify.com/track/6fBwVe6udYdnRqwqo06if8
"Right in the Socket";Shalamar;"Big Fun";CAU117902501;"2020-07-05 01:09";1218037846;401s;https://open.spotify.com/track/3cTZ1gQaFYJYPr50pCVrG6
"Sunglasses At Night";"Corey Hart";"The Singles";USEM38400043;"2020-07-05 01:10";1218037846;321s;https://open.spotify.com/track/1QbQL5m30YNvukitIqAnFG
Controller;"Channel Tres";Controller;QM38F1800007;"2020-07-05 01:10";1218037846;208s;https://open.spotify.com/track/34aM4AadnV3foQ1cadQYr9
"Rubies, Riches And Crowns";"Kim Brown";"If This Is House I Want My Money Back 3";DECY61400004;"2020-07-05 01:11";1218037846;436s;https://open.spotify.com/track/4gLd31OPb8QoLOQLPPkYOC
"We Don't Give A";Nao;"For All We Know";GBARL1600551;"2020-07-05 01:11";1218037846;201s;https://open.spotify.com/track/7xFyzXCq6GKv5hpbTGLY4S
"Skin Deep";Dusky;"Skin Deep";GBUM71503683;"2020-07-05 01:11";1218037846;384s;https://open.spotify.com/track/1swbHpmgYa7c8e9bTiYFf0
Sexual;NEIKED;Sexual;GBKPL1667537;"2020-07-05 01:12";1218037846;189s;https://open.spotify.com/track/24n5tZm9XnaoNAkcW5NC5B
"Heart to Break";"Kim Petras";"Heart to Break";GBWWP1703426;"2020-07-05 01:12";1218037846;226s;https://open.spotify.com/track/2Cu5ExXidcoE4vF5hIYict
